Q001,Q002,Q006,Q025,Q027,NU_NOTA_MT
G,E,G,B,A,566
D,E,F,B,A,423
E,C,D,B,A,551.5
D,E,B,B,A,598.1
B,B,C,B,A,470.1
E,C,D,B,B,493.7
G,G,C,B,A,496.5
C,C,D,B,A,514.2
E,G,N,B,D,762.8
D,D,E,B,A,452.7
C,C,D,B,A,490.1
E,F,L,B,D,577.6
E,G,H,B,D,586.6
F,F,O,B,B,597.6
E,D,G,B,C,505.1
E,E,G,B,A,517.3
D,D,D,B,A,547.7
G,F,Q,B,D,824.2
E,C,G,B,B,439.9
F,F,I,B,D,677.9
G,G,J,B,D,436.9
D,E,C,A,C,504.3
F,G,P,B,D,716.4
E,E,E,B,A,729.7
E,E,C,B,A,394.8
F,F,J,B,E,695.2
E,E,H,B,A,399.8
F,E,C,B,A,485.1
C,E,G,B,A,580.5
E,E,C,B,A,744.7
G,E,K,B,B,505.5
C,E,C,B,A,485.2
F,G,L,B,E,604
E,E,M,B,D,678.1
E,E,I,B,D,524
E,F,I,B,C,631.4
E,F,M,B,D,590.3
E,E,G,B,D,499.2
G,G,I,B,D,476.4
G,E,P,B,B,754.3
E,F,I,B,D,413.6
F,G,P,B,D,485.4
B,D,C,B,A,467
D,E,C,B,A,495.4
G,D,P,B,D,444.1
E,C,B,B,A,463.1
E,F,H,B,D,776.6
E,G,N,B,B,507.8
F,G,O,B,D,817.4
F,E,E,B,C,737.9
B,E,C,A,A,557.4
C,D,E,B,A,709.2
G,E,K,B,B,435.3
E,E,C,B,A,528.6
F,F,B,B,D,732.7
B,E,E,B,A,542.6
C,D,E,B,A,486.7
C,E,B,B,A,566
B,B,C,B,A,449.9
D,D,D,B,A,539.3
A,A,D,B,A,470.5
C,E,F,B,D,474.8
D,C,C,B,A,497
B,E,E,B,A,578.8
E,D,C,B,A,603.9
E,E,I,B,A,660.7
E,C,D,B,A,542.7
F,E,D,B,D,431.5
E,E,C,B,A,553.3
E,E,C,B,A,505.9
B,B,C,B,A,501.4
D,E,I,B,B,499.8
D,E,D,B,A,483.9
E,G,L,B,D,612.2
F,F,M,B,D,619.2
E,F,M,B,D,682.6
B,E,H,B,D,553.1
G,G,O,B,D,667.3
E,E,G,B,A,543.8
D,E,G,B,E,692.2
E,E,G,B,E,669.4
D,E,H,B,D,622.4
E,E,D,A,D,717.5
E,F,G,B,A,579.9
E,E,E,B,B,650.7
G,G,Q,B,D,840.2
E,E,E,B,A,682.1
B,E,D,B,A,581.5
D,D,D,B,E,655
B,B,E,B,A,644.1
B,E,D,B,A,469.8
E,E,O,B,D,664.3
A,E,B,B,A,466.6
B,C,F,B,A,632.1
E,E,E,B,A,455.3
B,C,D,B,A,509.8
E,G,C,B,A,498.5
D,E,F,B,A,458.5
E,E,G,B,D,566.1
F,D,K,B,A,610.9
E,D,E,A,A,523.4
D,E,D,A,B,725.2
B,D,H,B,A,657.3
G,F,N,B,E,940.9
E,E,D,B,A,570
E,E,F,B,A,446.3
B,E,G,B,A,590.2
F,C,E,B,A,571
B,D,G,B,A,508.6
E,D,C,B,A,555.6
E,C,E,B,A,541.3
G,G,P,B,D,771
C,E,B,B,A,591.6
E,E,H,B,A,491.5
F,F,O,B,D,650.9
E,E,B,B,A,519.4
F,F,Q,B,D,871.7
A,C,B,B,E,477.3
E,E,D,B,A,582.2
D,C,G,B,A,509.9
E,E,D,B,A,486.6
G,G,O,B,D,931.4
G,F,O,B,D,929.4
B,A,D,A,A,386.3
E,E,D,B,A,548
E,F,E,B,E,576.2
E,E,C,B,A,442.2
B,D,E,B,A,594.2
F,F,H,B,D,739.6
F,E,B,B,B,577.5
C,E,C,B,A,637.6
E,G,E,A,A,429
B,E,B,B,A,402.6
G,G,Q,B,D,747
E,E,I,B,A,606.5
C,C,D,B,A,449.9
E,E,I,B,D,646.7
C,E,C,B,A,454
F,E,D,B,E,501.4
G,G,K,B,D,527.4
E,E,C,B,A,454.4
D,E,G,B,D,572.6
B,F,E,B,D,602.7
B,F,F,B,B,511
D,B,F,B,A,641
E,E,G,B,B,388.3
E,G,G,B,E,606
C,C,F,B,A,424.5
F,F,C,A,D,459.8
E,E,D,B,A,544.4
E,E,E,B,A,572.1
B,B,D,B,A,657
E,G,H,B,B,596.7
F,E,C,B,A,538
A,E,F,B,A,687.4
D,C,I,B,A,553.6
E,E,D,B,A,433.5
F,F,Q,B,D,719.6
B,D,B,B,A,478.6
C,E,F,B,A,496.4
E,E,I,B,A,598.7
E,E,J,B,D,558.5
E,E,C,B,A,589.3
D,E,C,B,A,451.9
F,E,Q,B,D,739.7
E,F,F,B,D,783.9
G,F,G,B,D,735.7
F,B,Q,B,D,604.3
B,B,E,B,A,654.9
C,C,D,B,A,684.1
E,E,G,B,A,618.4
G,E,F,B,A,464.2
G,G,E,B,D,599.3
D,D,C,B,A,528
F,E,D,B,A,554.4
G,E,F,B,A,451.4
E,C,D,B,A,622
D,E,O,B,D,702.7
C,F,G,B,A,600.1
E,D,D,B,A,484.2
C,D,G,B,D,528.7
A,B,D,B,A,502.1
E,C,D,B,A,549
D,E,D,B,B,464.2
D,D,I,B,D,811.6
G,G,Q,B,D,833.5
C,C,B,B,A,400.3
E,E,J,B,D,632.4
E,G,I,B,B,583.9
C,D,C,B,C,639.2
G,G,F,B,A,554.7
F,D,E,B,E,727.7
E,E,G,B,A,514.5
B,B,G,B,A,750.2
E,F,C,B,A,579.5
F,E,H,B,D,754.9
B,D,D,A,A,483.3
G,E,G,B,D,666.6
D,C,O,B,D,747.6
F,E,I,B,D,630.7
F,E,I,B,B,629.1
G,E,K,B,D,736.3
E,E,E,B,C,507.5
D,E,G,B,A,596.5
F,F,P,B,D,857.8
A,B,C,B,A,645.8
E,G,J,B,D,439.9
E,F,C,B,C,682.4
F,F,I,B,E,715.6
E,E,C,B,A,395
F,E,I,B,E,788.9
B,E,C,B,A,501.6
F,G,G,B,C,524.5
C,C,E,B,A,567.8
D,B,F,B,D,867.7
B,E,D,B,A,508.3
B,D,C,B,A,569.2
B,C,B,B,A,635.3
G,F,P,B,D,794.3
F,E,D,B,D,699.2
G,F,J,B,D,550.3
F,G,F,B,D,550.4
E,F,C,B,D,630.4
C,D,D,B,B,505.1
E,F,H,B,B,393.4
F,G,Q,B,D,665
D,E,F,B,A,701.8
F,E,C,B,A,684.4
F,E,H,B,A,521.1
E,F,G,B,C,773.1
C,B,D,B,A,466.8
B,E,D,B,A,480.2
B,E,C,B,A,595.6
E,G,I,B,D,688.1
E,E,I,B,A,398.7
C,E,H,B,A,650.2
E,E,G,B,A,576.6
F,D,D,B,A,462.6
C,E,C,B,A,429.3
E,C,E,B,A,717.3
E,E,C,B,A,534.8
G,G,Q,B,D,790.2
F,F,O,B,D,692.5
D,C,C,B,A,443.9
E,E,E,B,D,518.6
E,E,E,B,A,563
B,D,F,B,D,439.6
C,E,C,B,A,511
F,G,L,B,E,770.2
F,G,G,B,E,435.7
E,D,F,B,D,858.8
E,C,G,B,B,445.4
D,E,D,B,A,566.4
D,E,E,B,A,502.6
B,B,D,B,A,511.1
E,E,F,B,A,696.6
B,E,C,B,A,502.7
C,E,C,A,A,378.9
E,E,D,B,D,703.4
E,E,B,A,A,442.4
E,E,C,B,A,650.6
E,F,C,B,A,652.2
E,E,F,B,A,413
E,E,C,B,C,557.9
C,D,C,B,A,455
C,E,D,B,A,488.8
C,E,E,B,A,401.6
E,F,Q,B,D,697.2
C,C,D,B,A,545.2
E,E,I,B,B,498.8
F,F,K,B,A,534.8
E,E,I,B,A,616
F,E,I,B,B,565.2
F,E,Q,B,B,658
B,E,C,B,A,529.3
E,E,C,B,A,604.4
E,E,C,B,D,686.4
F,F,N,B,D,684.2
E,F,D,B,A,704.5
F,E,H,B,D,427.5
C,E,B,B,A,746
E,E,E,B,B,523.3
E,E,C,B,A,534.3
B,C,C,B,A,545.3
D,C,G,B,A,584.2
E,C,B,B,A,443.2
F,G,O,B,E,756.1
D,D,D,B,A,529.2
F,F,Q,B,D,743.3
E,B,G,B,A,438.1
F,E,O,B,A,742.1
E,E,G,B,A,492
F,E,G,B,A,413.8
E,E,H,B,B,393.7
G,F,J,B,D,522.4
B,E,B,B,A,404.8
E,E,B,B,A,485.2
D,E,C,B,A,556.9
F,F,N,B,D,725.4
E,F,H,B,A,670.3
C,E,L,B,D,487.6
B,E,D,B,A,520.4
F,G,H,B,B,716.4
F,F,I,B,E,423.8
F,F,G,B,E,869.3
F,F,L,B,D,683.1
G,D,P,B,B,561.4
F,D,E,B,E,702.5
C,F,J,B,A,507.6
D,F,C,B,A,474.2
B,E,E,B,A,468.1
E,E,H,B,E,404.2
B,B,F,B,A,498
G,F,K,B,D,737.2
E,E,J,B,A,609.6
E,E,C,B,A,693.3
E,E,B,B,A,537.2
D,D,E,B,A,530.1
D,E,G,B,D,841.2
C,E,G,B,D,578
E,E,C,B,A,441.1
E,G,O,B,D,728.3
E,E,E,B,A,518.2
F,E,E,B,A,508
F,E,C,B,A,521
C,E,E,B,C,728.2
G,E,I,B,B,672.3
D,F,M,B,A,443.4
E,F,J,B,D,750.7
B,C,B,B,A,525.3
C,D,C,B,A,384
C,E,D,B,B,722.1
F,G,M,B,E,594.6
G,F,Q,B,D,556.7
F,G,N,B,E,679.9
B,C,G,B,A,530.1
B,B,C,B,A,492.3
E,E,C,B,A,488.4
F,F,M,B,D,551.3
E,G,M,B,B,720.4
F,G,H,B,A,621.4
C,F,D,B,A,479.7
F,F,H,B,D,703.3
G,E,E,B,B,616.2
F,F,O,B,D,565.5
E,F,E,B,A,460.3
B,B,E,B,A,523.1
E,E,C,B,A,461.4
B,F,C,A,A,490.3
C,C,C,B,A,590
E,E,G,B,A,697.1
C,E,C,B,A,706.3
F,E,B,B,A,636.6
D,E,E,B,A,554.1
F,F,O,B,D,656.6
E,E,C,B,A,665.8
E,C,D,B,A,641.4
B,B,E,B,A,512.1
E,E,D,B,D,667.6
F,F,O,B,D,785
D,D,D,B,A,452.3
E,B,D,B,B,513.4
A,B,C,B,A,523.9
E,E,I,B,A,686.8
D,E,C,B,A,395.5
B,B,B,B,D,392.6
E,E,B,B,A,448.1
G,F,K,B,E,792.5
E,F,G,A,C,537.9
C,D,G,B,A,649
F,G,Q,B,D,621.8
F,G,O,B,D,619.8
E,E,C,B,A,519.8
C,D,C,B,A,434.5
F,E,E,B,C,595.6
F,G,F,B,D,475.4
E,D,E,B,A,478.4
E,F,I,B,D,467.1
E,E,F,B,B,641.2
E,E,C,B,A,666.2
D,D,E,B,A,496.3
F,F,O,B,D,754.1
D,E,G,B,A,502.8
E,E,I,B,B,688.3
E,F,H,B,C,640.8
C,D,D,A,A,460.9
D,G,E,B,B,606.5
G,G,I,B,E,803.6
C,F,C,B,E,480.9
G,G,N,B,D,705
E,F,I,B,B,486.7
G,E,H,B,D,669.4
G,F,Q,B,D,667.2
E,E,F,B,A,444.3
E,E,C,B,A,681.8
F,G,E,B,A,546
F,G,I,B,A,483
E,F,F,B,D,591.3
C,C,G,B,A,581.9
D,E,C,B,A,441.5
E,E,G,B,A,712.8
E,B,D,B,A,467.8
F,E,D,B,A,495
B,B,B,B,A,689
G,G,I,B,D,713.2
G,G,Q,B,D,666.7
E,E,C,A,B,484.8
C,E,P,B,D,570
F,E,H,B,A,706.4
E,F,C,B,A,504.2
D,D,C,B,A,399.8
E,E,F,B,E,617.1
E,G,O,B,D,637.9
E,F,G,B,B,434.9
E,F,G,B,A,467.5
F,F,G,B,A,703.6
E,E,F,B,A,721.1
G,G,P,B,D,767.7
E,G,D,A,D,674.7
F,F,P,B,D,751.5
C,D,D,B,A,600.5
E,F,D,B,A,465.1
B,E,F,B,A,597.9
E,C,H,B,A,498.9
G,F,O,B,D,613.4
F,F,Q,B,D,717.2
F,E,H,B,D,673
E,C,G,B,A,671
E,E,G,B,A,615.4
D,E,D,B,C,504.2
C,D,C,A,A,457.2
E,C,K,B,B,561.6
C,E,E,B,A,689.5
F,D,E,B,C,583
F,F,E,B,A,456.4
C,C,D,B,A,498.5
A,B,C,B,A,436.1
E,E,C,B,D,586.2
E,E,D,B,B,441.9
B,A,D,B,A,447.2
E,E,G,B,A,510.9
D,E,B,B,A,503.9
C,E,B,B,A,475.8
E,E,C,B,A,534.2
F,D,J,B,D,454.5
G,G,Q,B,D,715.3
D,D,C,B,A,564.4
E,E,I,B,A,579.5
E,C,G,B,A,487.9
G,F,J,B,D,739.7
E,E,H,B,A,753.7
E,G,I,B,D,698.7
E,E,G,B,D,687.8
B,E,E,B,A,495
E,E,E,B,A,460.2
G,G,P,B,D,849.6
B,C,C,B,A,528.3
E,E,F,B,D,727.7
F,F,G,B,D,686.8
D,E,D,B,A,560.3
F,E,I,B,E,556.5
D,F,I,B,B,630.8
E,F,I,B,D,701.1
F,E,E,B,D,485
G,G,O,B,D,718.1
D,D,B,B,A,392.9
E,E,F,B,A,601.6
F,F,O,B,D,623.5
E,E,C,B,C,520.5
D,D,E,B,A,659.9
F,E,K,B,A,527.4
E,C,G,B,A,708.8
G,G,K,B,A,583.2
E,E,E,B,A,437.3
D,G,E,B,A,422.8
E,E,C,B,A,477.5
E,E,P,B,D,505.4
G,E,P,B,D,533.2
E,E,I,B,A,546.7
D,E,B,B,A,473.1
B,E,G,B,A,782.7
B,E,B,B,A,523.7
C,C,B,B,A,432.2
C,E,C,A,A,556.8
C,F,J,B,B,631.4
C,E,D,B,A,611.9
F,G,K,B,E,531.8
B,B,B,B,A,533.4
B,E,C,B,A,485.2
F,E,O,B,D,763.5
F,G,K,B,A,688
E,D,H,B,A,712.8
E,E,H,B,A,569.3
E,G,C,A,D,760.6
E,C,C,B,A,453.1
F,F,Q,B,D,914.2
F,G,M,B,D,733.2
G,G,O,B,D,745.1
E,E,C,B,C,705.9
E,E,E,B,A,559
F,F,N,B,E,713.9
F,E,G,B,D,585.1
D,E,C,B,A,557.5
D,B,F,B,A,690.5
D,B,E,B,A,542.1
B,B,C,B,A,576.8
D,E,H,B,A,394.7
F,F,O,B,D,745.6
D,E,C,B,A,612.6
D,G,F,B,A,696.4
E,F,G,B,D,687.4
E,G,H,B,D,660
F,F,I,B,D,763.6
F,F,G,B,C,439.7
E,C,B,B,A,588.1
E,G,G,B,A,569
C,E,I,B,A,635.8
C,F,G,B,B,565.8
E,E,D,B,A,426.4
E,E,B,B,A,641.7
D,E,E,A,A,684.4
E,F,M,B,A,563.8
E,E,B,B,A,474.4
F,E,C,B,A,719.6
D,G,C,B,A,519
E,F,D,B,A,502.2
E,E,E,B,A,674.3
E,E,F,B,D,608.4
E,E,I,B,A,573.4
G,F,O,B,D,663.2
E,E,M,B,D,659.9
D,D,C,A,A,557.4
B,C,C,B,A,407.2
F,G,L,B,D,813.8
C,E,C,B,A,594.9
F,E,I,B,A,621.4
E,F,C,B,A,477.8
B,D,C,B,A,431.7
E,D,C,B,A,490.1
E,G,B,B,D,683.8
G,E,N,B,D,718.9
D,E,E,B,A,653.4
F,E,I,B,D,564.8
E,D,H,B,A,648
G,G,P,B,D,724
E,E,C,B,A,449.9
F,F,M,B,A,738.2
E,E,N,B,A,425
E,E,E,B,A,449.2
E,E,E,B,A,632
B,C,E,B,A,465.2
B,E,B,B,A,413.5
C,D,H,B,A,476.1
B,E,G,B,A,402.6
D,E,C,B,A,529.2
E,E,D,B,A,515.5
C,E,G,B,A,654.3
E,F,G,B,A,602.8
B,E,G,B,D,744
F,F,Q,B,D,554.1
F,F,H,B,A,703.7
E,C,B,B,A,632.2
C,E,C,B,A,605.1
F,F,K,B,D,672.2
B,B,D,B,A,405
F,F,M,B,B,509.3
E,E,J,B,A,540.2
B,E,E,B,A,439.3
E,F,C,B,A,517.3
F,E,M,B,D,639.3
E,D,L,B,D,570.3
E,C,G,B,A,524.5
E,E,H,B,D,710.9
E,B,E,B,A,425.2
C,D,H,B,D,691.4
F,F,H,B,D,572.1
E,E,C,B,A,582.7
E,E,O,B,D,717.1
E,D,B,B,C,567.8
D,E,C,B,A,539.2
B,E,C,A,A,442.3
E,F,I,B,D,542.6
D,E,G,B,A,524.3
E,E,F,B,D,640.3
B,B,E,B,A,510.4
D,E,C,B,A,544.7
G,G,J,B,E,917.2
E,E,E,B,A,560.1
E,F,J,B,D,576.3
F,E,C,B,A,550.4
E,E,E,B,A,383.3
C,C,D,B,A,491
F,F,E,B,B,637.4
E,E,H,B,A,562.6
D,D,D,B,A,717.5
D,E,E,B,A,437.8
E,F,H,B,A,674.6
F,F,D,B,A,438.1
C,E,C,B,A,584.2
D,E,C,B,A,497
C,E,C,A,A,428.1
D,E,F,B,A,549.1
E,G,E,B,A,570.1
B,B,B,B,A,473.3
F,G,I,B,E,604.8
G,D,E,B,A,454.4
C,E,K,B,A,599.6
F,F,F,B,D,487.3
F,E,H,B,D,499.6
F,F,B,B,A,506.2
D,D,C,B,A,532.6
G,F,G,B,D,624.2
E,E,H,B,D,829.9
E,F,G,B,A,733.7
E,G,E,B,A,413.4
G,G,P,B,D,523.7
E,E,C,B,D,551.4
D,E,E,B,A,551.3
F,F,J,B,D,714.4
E,E,J,B,D,712
E,D,G,B,A,505.1
D,B,E,B,A,484.2
B,C,B,B,A,506.9
E,E,C,B,B,504.9
E,E,D,B,B,449.5
D,C,C,B,A,432.4
E,E,C,B,A,384.3
F,F,P,B,E,697.9
E,D,G,B,A,437.1
E,E,H,B,A,595.3
F,F,G,B,D,818.6
E,E,E,B,E,767.7
E,E,C,B,A,399.4
F,E,I,B,A,584.3
F,G,O,B,D,714
E,E,C,B,A,643.8
E,E,O,B,D,723.2
D,E,C,B,A,435.5
G,G,O,B,D,720.7
D,E,D,B,B,497.8
E,E,E,B,A,491.6
D,E,C,B,A,387.4
E,D,C,B,A,466.1
D,G,K,B,A,674.9
C,B,G,B,A,602.9
F,F,P,B,D,702.3
F,F,E,B,A,554.6
B,B,B,B,A,492.6
D,D,D,B,A,565.5
E,D,E,B,A,502.8
D,D,F,B,A,545.2
C,B,C,B,A,683
C,D,C,A,A,545.2
D,G,I,B,A,442.2
G,E,Q,B,D,848.9
E,F,G,B,A,580.9
E,C,C,B,A,517.6
F,G,M,B,D,674.9
E,E,C,B,A,646.6
E,E,L,B,D,488.9
E,E,G,B,A,526.7
G,G,Q,B,D,803.4
B,F,B,B,A,484.6
E,F,I,B,C,589.1
G,G,L,B,D,718
C,F,J,B,D,687.8
C,D,B,B,A,500.3
F,E,F,B,A,439.9
C,C,D,A,A,424.2
F,C,I,B,C,472.1
F,G,Q,B,D,794.2
A,A,C,B,A,474.2
F,G,Q,B,A,796.3
E,G,L,B,A,788.2
D,F,D,B,B,533.1
B,E,C,A,A,487
B,E,G,B,A,508.1
B,C,C,A,A,576.8
E,E,I,B,A,386.2
B,B,D,B,A,375.8
E,G,F,B,A,670.4
G,G,D,B,D,444
F,F,F,A,A,693.5
F,G,N,B,D,799.6
E,F,I,B,A,751.2
E,E,B,B,A,674.2
C,C,G,B,A,508.6
G,G,P,B,E,830
E,E,E,B,D,472.5
G,G,N,B,D,667.1
C,F,C,B,A,613.6
B,D,C,B,A,585.9
D,E,C,B,A,421.5
E,E,C,B,A,498.6
F,F,J,B,D,907.1
E,E,C,B,A,375.2
F,G,K,B,A,508.5
D,D,B,B,A,520.1
F,F,K,B,D,543.4
E,C,G,B,A,451.3
D,E,H,B,B,486.3
E,E,B,B,B,486.7
C,E,B,A,A,476.8
B,E,C,A,A,532.4
E,F,N,B,C,501.8
E,E,E,A,A,735.1
C,B,E,B,A,483.1
E,E,G,B,C,701.2
E,E,N,B,D,692.4
F,D,C,A,A,581.9
C,C,G,B,A,623.4
E,E,E,B,B,538.2
E,G,I,B,D,563.1
B,D,C,B,A,624.8
D,E,D,B,A,684.8
E,E,C,B,E,780.4
F,D,D,A,A,387
D,E,C,B,D,438.6
E,E,E,B,A,660.9
E,F,I,B,D,779.1
C,B,B,B,A,491
F,E,Q,B,D,718.3
F,F,C,A,A,682.5
F,E,K,B,D,757.6
F,F,P,B,D,756.2
E,E,C,B,A,692.3
F,E,M,B,D,665.2
E,E,O,B,B,758
F,F,E,B,A,553.7
F,E,H,B,D,594.9
G,D,E,B,C,682.8
G,G,H,B,D,645.4
D,C,D,B,A,508.8
E,E,I,B,D,518.9
C,B,C,B,C,468.3
C,E,C,B,A,533.8
E,E,B,B,A,435.6
G,E,G,B,B,642.8
D,F,I,B,C,386.9
C,E,C,B,A,495.5
D,E,C,B,A,487.8
C,D,D,B,A,415.8
E,F,H,B,B,653.3
C,C,C,B,A,421.8
E,E,E,B,A,552.5
F,F,I,B,D,821.7
E,E,H,B,D,682.9
G,F,N,B,D,615
C,F,E,B,D,671.5
E,E,C,B,C,390.3
E,D,J,B,D,565.8
E,E,D,B,A,599.3
G,E,D,B,A,634.8
E,F,F,B,B,518.6
F,E,I,B,D,667.6
E,E,B,A,A,524.2
F,D,C,B,A,603.6
F,E,E,B,B,549.8
F,F,L,B,D,759.4
E,E,H,B,D,733.5
D,C,E,B,A,433
E,C,C,B,A,571.6
C,E,G,B,A,624.4
G,G,O,B,D,612.4
F,F,C,B,A,516.7
E,F,I,B,A,683.2
F,E,P,B,E,543.2
E,E,C,B,A,438.2
E,C,C,B,A,464.5
E,E,K,B,D,659.8
D,C,C,A,A,498.9
E,E,F,B,B,585.1
F,F,O,B,D,682.1
F,F,Q,B,D,508.2
F,F,K,B,A,436.1
F,E,F,B,E,929.7
E,F,C,B,A,568.6
E,E,L,B,D,652.8
E,E,J,B,A,425.7
B,D,F,B,A,576.2
F,E,K,B,B,611.1
E,F,E,B,A,594.8
A,B,E,B,A,532.8
E,G,E,B,B,682.7
G,G,K,B,D,757.8
G,G,L,B,D,600.7
D,F,D,B,A,442.4
G,F,Q,B,D,689.2
E,D,G,B,A,630.6
G,G,O,B,D,564.8
E,D,L,B,B,580.9
E,E,C,A,A,545
G,E,Q,B,D,741.6
C,C,E,B,A,378.4
G,G,Q,B,D,799
C,D,B,B,A,540
F,F,Q,B,D,862.9
D,E,D,B,A,726.7
G,G,N,B,D,719.2
D,F,K,B,D,768.8
E,E,E,B,D,739.1
E,C,C,B,A,427.5
F,G,I,B,D,828.1
B,C,B,B,A,645.2
B,C,C,B,A,541.2
D,C,G,B,A,551.8
E,E,D,B,A,515
E,E,G,B,A,446.4
E,E,C,B,B,516.8
E,C,B,B,A,563.8
F,E,O,B,D,819
D,D,B,B,A,486
E,E,B,B,B,554.6
E,E,J,B,D,690.1
E,E,F,B,E,784.5
D,E,J,B,D,655.9
E,E,C,B,A,503.7
E,E,I,B,A,620.6
E,E,D,B,A,475.1
G,E,K,B,B,505.3
G,G,P,B,D,690.5
D,D,G,B,A,562.4
D,E,I,B,B,440.1
F,F,F,B,D,459.1
C,E,H,B,A,566.2
E,E,B,B,A,508.6
C,F,H,B,E,527
C,E,E,B,A,554.4
F,G,M,B,D,934.7
E,B,B,B,A,417.9
G,G,G,B,D,661.6
E,E,B,B,A,683.4
E,D,B,B,A,644.5
E,E,G,A,A,429.8
G,E,E,B,B,532.5
E,E,I,B,E,729.1
E,D,B,B,A,562
B,B,D,B,A,477.7
C,C,C,B,A,457
D,D,C,B,A,461.1
G,F,O,B,D,470.9
E,E,D,B,A,610.1
D,E,D,B,A,571.6
G,G,P,B,D,754
D,E,B,B,A,519.7
F,F,H,B,D,793.6
F,G,Q,B,D,799.1
E,E,E,B,A,459.2
C,C,C,B,B,725.5
F,G,J,B,B,680.8
B,C,B,B,A,494.5
G,G,Q,B,D,777.4
C,D,K,B,D,536.8
B,B,D,B,A,618.5
G,F,I,B,E,739.4
G,E,I,B,D,697.1
D,D,C,B,A,410.1
F,F,J,B,D,709.3
C,D,B,B,A,493.8
E,F,N,B,D,622.1
E,E,C,B,A,528.1
D,E,D,B,A,551
B,B,C,B,A,754.5
E,C,E,B,A,440.5
F,F,H,B,D,625.2
C,E,G,B,A,634.6
E,E,G,B,A,516.9
F,E,N,B,D,525.7
G,G,O,B,D,697.6
E,E,B,A,A,562.6
E,E,C,B,A,483.4
G,G,Q,B,D,735
F,D,F,B,D,718.6
E,D,F,B,A,430.9
G,E,G,B,D,665.5
D,E,F,B,A,423.8
F,F,Q,B,D,619.6
C,E,L,B,A,560.9
B,B,B,B,A,576.3
B,B,C,B,A,522.6
E,E,B,B,A,498.5
E,E,H,B,B,551.2
E,F,G,B,B,541.9
E,D,G,B,D,681.3
D,D,B,B,A,402.9
D,B,D,B,A,735.4
G,F,Q,B,D,543.4
C,E,C,B,A,563.8
B,F,G,B,A,380.7
C,E,G,B,B,773.9
B,E,B,B,A,424.6
F,D,D,B,A,659.8
E,F,Q,B,D,733.8
E,E,G,B,A,548.5
E,E,B,B,A,539.5
G,F,I,B,E,605.7
C,C,F,B,B,456.1
E,E,Q,B,D,460.9
C,B,B,B,A,419.4
F,F,O,B,D,867.5
E,F,E,B,A,417.3
E,F,J,B,A,613.7
D,E,C,B,A,591.5
E,F,G,B,A,526.3
C,E,B,B,A,562.7
D,E,E,B,A,401.2
G,F,Q,B,D,726
C,E,H,B,A,505.6
E,E,L,B,D,712.6
F,G,O,B,D,543.5
C,C,H,B,A,494.1
D,D,E,B,A,518.1
G,F,P,B,D,750.5
G,D,J,B,D,682.4
E,E,C,A,A,448.3
E,F,D,B,A,685.8
E,F,P,B,D,674.3
F,F,N,B,D,716.4
E,D,C,A,A,501
C,B,C,B,A,616
E,E,D,B,B,512.5
G,G,Q,B,D,760.2
B,E,C,B,A,506.7
G,F,Q,B,D,846.5
F,F,M,B,A,670.3
C,C,K,B,D,539.7
C,C,C,B,A,528.3
E,E,G,B,D,514.7
C,E,E,B,A,585.7
F,E,D,B,E,675.5
E,D,B,B,A,506.3
F,G,I,B,D,412.9
F,F,G,B,E,714.2
C,D,H,B,A,528.4
E,E,C,B,A,629.3
B,E,O,B,D,747.9
D,E,B,B,E,489.7
E,E,B,B,A,572.4
E,E,P,B,D,574.6
C,E,E,A,B,508.7
D,E,G,B,A,725.9
E,E,E,B,A,438.6
B,C,B,B,B,421.1
E,E,L,B,D,758.1
C,D,C,A,A,416.5
E,E,C,B,A,631.5
E,E,D,B,A,525.2
B,D,G,B,B,640.8
E,E,E,A,A,475.8
D,E,D,B,A,669.6
C,D,C,B,A,542.5
F,F,J,B,A,563.5
E,E,B,A,A,602.1
E,D,D,B,A,552.9
D,E,B,B,A,530.1
E,F,G,B,B,657.3
B,C,B,A,A,428.9
E,F,E,B,D,715.1
E,G,B,B,A,537.3
E,E,D,B,A,593.6
B,D,D,B,E,550.9
D,F,D,B,A,467.5
E,F,L,B,B,588.2
E,E,F,A,A,472.2
E,F,H,B,A,623.9
C,E,C,B,A,431.3
E,E,N,B,A,675.8
C,E,C,B,A,499.1
E,E,C,B,A,520.5
B,C,F,B,A,434.6
E,E,H,B,A,549.2
C,F,D,B,A,423.1
E,D,D,B,A,541.2
G,G,H,B,D,566.3
C,C,F,B,A,495.1
F,F,B,B,A,721.3
B,E,F,B,A,480.3
A,D,B,B,A,491.4
F,F,N,B,D,698
D,E,C,B,A,556.2
G,F,Q,B,D,652.5
G,E,H,B,B,494.5
B,B,C,B,A,533.2
C,E,F,B,D,608
E,D,G,B,A,652.6
C,E,E,B,D,585.7
C,D,B,A,A,492.9
E,D,C,B,A,613.7
E,E,C,B,A,535.2
G,F,Q,B,D,776
E,E,H,B,D,767.1
C,G,H,B,E,568.2
B,D,C,A,A,457.5
F,G,G,B,D,662.6
D,E,D,B,C,471.2
C,D,B,B,A,535
D,D,N,B,D,508.1
E,F,K,B,D,779.3
B,C,L,B,A,416.5
F,G,O,B,D,732.3
F,D,B,B,A,543.1
B,E,G,B,A,498
C,C,C,B,A,477.7
G,F,P,B,D,659.3
C,D,D,B,A,569.6
E,E,B,B,A,612.9
E,D,C,A,A,527.4
B,C,C,B,A,473
